Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
MSI,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,2 Year Carry-In Warranty Term,"₹1,29,990"
Lenovo,AMD Ryzen 5 Quad Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,2 Years Onsite�Warranty,"₹41,990"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹64,477"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹63,990"
Lenovo,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,"₹52,990"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2019,1 Year Onsite Warranty,"₹67,490"
ASUS,Intel Core i7 Processor (11th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,33.78 cm (13.3 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹1,04,990"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,33.78 cm (13.3 Inch) Display,,,"₹76,590"
ASUS,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,,"₹44,990"
DELL,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2019 included,1 Year Onsite Warranty,"₹43,090"
DELL,Intel Pentium Silver Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,Software: Win 11 + Office H&S 2021,1 Year Onsite Warranty,"₹30,428"
DELL,Intel Core i3 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹38,990"
ASUS,AMD Ryzen 3 Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹27,990"
ASUS,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹56,990"
HP,AMD Ryzen 3 Dual Core Processor,1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"Microsoft Office Home and Student 2019, HP Documentation, HP SSRM, HP Smart, HP Support Assistant",1 Year Onsite Warranty,"₹39,999"
Infinix,Intel Celeron Quad Core Processor,256 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹24,999"
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹56,788"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹41,990"
SAMSUNG,Qualcomm Snapdragon 7c Gen 2 Processor,,4 GB LPDDR4X RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹32,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹66,990"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,33.78 cm (13.3 inch) Touchscreen Display,"Microsoft Office 2019 Home & Student, HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Jumpstart, HP Audio Switch, HP Audio Boost, Dropbox",1 Year Onsite Warranty,"₹81,990"
DELL,Intel Pentium Silver Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,Software: Win 11 + Office H&S 2021,1 Year Onsite Warranty,"₹30,428"
DELL,AMD Ryzen 3 Quad Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,Software: Win 11 + Office H&S 2021,,"₹38,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,,1 Year Onsite Warranty,"₹89,990"
